ID,URL,NAME,ADDRESS,CITY,SCHOOL TYPE,LEVEL CODE
2029,https://www.goodschools.com.au/compare-schools/in-rose-bay-2029/kambala,Kambala,"Rose Bay, NSW",Rose Bay,Independent,c
2029,https://www.goodschools.com.au/compare-schools/in-rose-bay-2029/kincoppal-rose-bay-school,Kincoppal - Rose Bay School,"Rose Bay, NSW",Rose Bay,Independent,c
2084,https://www.goodschools.com.au/compare-schools/in-terrey-hills-2084/german-international-school-sydney,German International School Sydney,"Terrey Hills, NSW",Terrey Hills,Independent,c
2259,https://www.goodschools.com.au/compare-schools/in-warnervale-2259/lakes-grammar-an-anglican-school,Lakes Grammar - An Anglican School,"Warnervale, NSW",Warnervale,Independent,c
2323,https://www.goodschools.com.au/compare-schools/in-metford-2323/maitland-christian-school-ltd,Maitland Christian School,"Metford, NSW",Metford,Independent,c
2037,https://www.goodschools.com.au/compare-schools/in-glebe-2037/goal-college-glebe-and-olympic-park-campuses,GOAL College - Glebe and Olympic Park Campuses,"Glebe, NSW",Glebe,Independent,s
2159,https://www.goodschools.com.au/compare-schools/in-arcadia-2159/northholm-grammar-school,Northholm Grammar School,"Arcadia, NSW",Arcadia,Independent,c
2121,https://www.goodschools.com.au/compare-schools/in-epping-2121/arden-anglican-school,Arden Anglican School,"Epping, NSW",Epping,Independent,c
2027,https://www.goodschools.com.au/compare-schools/in-edgecliff-2027/ascham-school,Ascham School,"Edgecliff, NSW",Edgecliff,Independent,c
2077,https://www.goodschools.com.au/compare-schools/in-hornsby-2077/barker-college,Barker College,"Hornsby, NSW",Hornsby,Independent,c
2077,https://www.goodschools.com.au/compare-schools/in-hornsby-2077/blue-gum-community-school-hornsby,Blue Gum Community School Hornsby,"Hornsby, NSW",Hornsby,Independent,p
2073,https://www.goodschools.com.au/compare-schools/in-pymble-2073/pymble-ladies-college,Pymble Ladies College,"Pymble, NSW",Pymble,Independent,c
2627,https://www.goodschools.com.au/compare-schools/in-jindabyne-2627/snowy-mountains-grammar-school,Snowy Mountains Grammar School,"Jindabyne, NSW",Jindabyne,Independent,c
